content_key,criterion_key,span_index,similarity_ratio,threshold_band,highest_pair_governs,restatement_justification
apphycem-frq-np1-004,part-b-criterion-01,5,0.933333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-004,part-b-criterion-02,7,0.975610,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-004,part-c-criterion-01,9,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-004,part-c-criterion-02,11,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-005,part-a-criterion-01,1,0.888889,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-005,part-b-criterion-01,3,0.635294,clear,yes,
apphycem-frq-np1-005,part-b-criterion-02,5,0.305085,clear,yes,
apphycem-frq-np1-005,part-c-criterion-01,7,0.933333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-005,part-c-criterion-02,9,0.666667,clear,yes,
apphycem-frq-np1-006,part-a-criterion-01,1,0.950000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-006,part-a-criterion-02,3,0.974359,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-006,part-a-criterion-03,5,0.875000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-006,part-b-criterion-01,7,0.956522,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-006,part-b-criterion-02,9,0.875000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-007,part-a-criterion-01,1,0.558140,clear,yes,
apphycem-frq-np1-007,part-b-criterion-01,3,0.909091,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-007,part-b-criterion-02,5,0.956522,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-007,part-c-criterion-01,7,0.981818,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-007,part-c-criterion-02,9,0.962963,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-009,part-a-criterion-01,1,0.958333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-009,part-a-criterion-02,3,0.451613,clear,yes,
apphycem-frq-np1-009,part-b-criterion-01,5,0.880000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-009,part-b-criterion-02,7,0.842105,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-009,part-c-criterion-01,9,0.926829,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-009,part-c-criterion-02,11,0.960000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-010,part-a-criterion-01,1,0.833333,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-010,part-b-criterion-01,3,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-010,part-b-criterion-02,5,0.965517,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-010,part-b-criterion-03,7,0.933333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-010,part-c-criterion-01,9,0.944444,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-010,part-c-criterion-02,11,0.953488,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
